epoch,loss,lr,val_loss
0,1.2311067831616442,1e-04,2.9155357559521993
1,1.195599716250636,1e-04,11.21463843981425
2,1.188357524511193,1e-04,1.5969155510266622
3,1.1816897943240254,1e-04,1.2823899964491525
4,1.177075429122989,1e-04,2.0144522269566854
5,1.1695514326336003,1e-04,1.2840495506922405
6,1.1645464416311568,1e-04,1.2730579356352487
7,1.1623862030125465,1e-04,1.2724094609419505
8,1.1625261026270248,1e-04,1.4724686721960702
9,1.1596168299683003,1e-04,1.270354402065277
10,1.1568591374309123,1e-04,1.2730025013287862
11,1.1565863284744133,1e-04,1.2715956052144368
12,1.1565306206711201,1e-04,1.2709348519643149
13,1.1548177003860474,1e-04,1.2764874001344044
14,1.153406573944733,1e-04,1.2781019330024719
15,1.1523790369514657,1e-04,1.2881868064403534
16,1.1505940952220886,1e-04,1.2780504206816354
17,1.1487085027854984,1e-04,1.2737096587816874
18,1.1478083985192435,1e-04,1.2683011094729106
19,1.145953328669572,1e-04,1.268421576420466
20,1.1449265219584233,1e-04,1.273750470081965
21,1.1418538534340739,1e-04,1.2687319219112396
22,1.1411135547301348,1e-04,1.2696920792261759
23,1.1390233460594625,1e-04,1.2774908701578775
24,1.136522271052128,1e-04,1.293337869644165
25,1.1350217045856124,1e-04,1.2785672108332315
26,1.1326416811021436,1e-04,1.2753591040770214
27,1.1299954652786255,1e-04,1.2779570718606312
28,1.1288257055923718,1e-04,1.2752698679765067
29,1.1287258382604903,1e-04,1.2761220614115396
30,1.1253636153806157,1e-04,1.277841564019521
31,1.123860713814487,1e-04,1.2730331679185232
32,1.1219298979815315,1e-04,1.2757027884324392
33,1.119127533015083,1e-04,1.2790554841359456
34,1.118608768246755,1e-04,1.2741970400015512
35,1.1171341874018437,1e-04,1.271741509437561
36,1.1150820706070972,1e-04,1.278418105840683
37,1.1138078465181238,1e-04,1.2840287784735362
38,1.1120482813410397,1e-04,1.2722757200400034
39,1.1068191818830346,5e-05,1.275306651989619
40,1.1009857043498705,5e-05,1.2697071929772694
41,1.0979338834265702,5e-05,1.2693317810694376
42,1.0960346780905204,5e-05,1.2678462405999502
43,1.0945242453022164,5e-05,1.2679716149965923
44,1.0940441043437028,5e-05,1.268976976474126
45,1.0940226326469613,5e-05,1.2672021786371868
46,1.0938076241677548,5e-05,1.271387900908788
47,1.0927374252752096,5e-05,1.2749549965063731
48,1.0912251292156572,5e-05,1.267125701904297
49,1.0904342296744596,5e-05,1.2707709769407909
50,1.0897431814370035,5e-05,1.268898500998815
51,1.088767515511072,5e-05,1.2725025276343027
52,1.0882771135378284,5e-05,1.269744974374771
53,1.087377250695429,5e-05,1.271902757883072
54,1.085880175358107,5e-05,1.2704159239927928
55,1.085123615104611,5e-05,1.2700607419013976
56,1.0847639105900997,5e-05,1.2718241532643637
57,1.0836231968983883,5e-05,1.2714895943800608
58,1.0824128850167538,5e-05,1.2703091700871785
59,1.080737924375454,5e-05,1.2681003749370574
60,1.0794311551486744,5e-05,1.2705166200796763
61,1.0793370839928378,5e-05,1.269062775373459
62,1.078214028302361,5e-05,1.2711292505264282
63,1.0770659837402214,5e-05,1.2755987683931986
64,1.0767805416043066,5e-05,1.277126040061315
65,1.0761069339864395,5e-05,1.27261936267217
66,1.07137149922988,2.5e-05,1.2690215090910593
67,1.0669897614406938,2.5e-05,1.270291958252589
68,1.065070503900031,2.5e-05,1.2683151940504709
69,1.0634314452900606,2.5e-05,1.2678619861602782
70,1.0621698874385417,2.5e-05,1.2685155471165974
71,1.061401223936001,2.5e-05,1.2676298220952351
72,1.0607112716226017,2.5e-05,1.2668705840905508
73,1.0605486210654764,2.5e-05,1.268136837085088
74,1.0600225284319966,2.5e-05,1.2682259817918142
75,1.0597127555799084,2.5e-05,1.2689883093039194
76,1.0590023152968462,2.5e-05,1.269344836473465
77,1.0589704844130188,2.5e-05,1.2673534115155538
78,1.0581602168684245,2.5e-05,1.270493632555008
79,1.0569446918343295,2.5e-05,1.269692635536194
80,1.0558192529598205,2.5e-05,1.2693230986595154
81,1.0547244188164462,2.5e-05,1.2680894613265992
82,1.0541048250278504,2.5e-05,1.2681737840175629
83,1.053340916874028,2.5e-05,1.2703257163365682
84,1.0529505725668258,2.5e-05,1.2683274765809378
85,1.051770632006541,2.5e-05,1.2676481107870738
86,1.051330111607784,2.5e-05,1.2682453314463298
87,1.0500626764377625,2.5e-05,1.26887136499087
88,1.049306247414661,2.5e-05,1.2687485794226327
89,1.0484383617128645,2.5e-05,1.2676983257134755
90,1.0477116448538644,2.5e-05,1.270249984661738
91,1.0476139182804012,2.5e-05,1.26843710343043
92,1.046667539772867,2.5e-05,1.2686521649360656
93,1.044448615122242,1.25e-05,1.2686165710290274
94,1.0410244334645633,1.25e-05,1.2674116750558218
95,1.0396568314367984,1.25e-05,1.266815326611201
96,1.0386868920646797,1.25e-05,1.2666621466477712
97,1.0379312464169093,1.25e-05,1.2661888420581817
98,1.0372724543098641,1.25e-05,1.2661974410216013
99,1.0367652648637276,1.25e-05,1.2666472812493643
100,1.0362919984745378,1.25e-05,1.266916044553121
101,1.0358932348860412,1.25e-05,1.2658623139063516
102,1.0356788805552892,1.25e-05,1.266664206981659
103,1.0354542792344295,1.25e-05,1.2670230348904927
104,1.0349562032883908,1.25e-05,1.2675578276316324
105,1.0345090081711776,1.25e-05,1.2660103420416513
106,1.0340614704524769,1.25e-05,1.2665375689665477
107,1.0334921819823129,1.25e-05,1.2668656547864279
108,1.0329934704203565,1.25e-05,1.266124528646469
109,1.0326098118509566,1.25e-05,1.2671796302000682
110,1.0318554464508505,1.25e-05,1.265586217244466
111,1.031193185754183,1.25e-05,1.2673747837543488
112,1.0305818474593282,1.25e-05,1.2667186717192331
113,1.030063987780018,1.25e-05,1.2674862384796142
114,1.0295879019408667,1.25e-05,1.2661958436171215
115,1.0293731368890329,1.25e-05,1.267110025882721
116,1.029042238948726,1.25e-05,1.2675755540529887
117,1.0282859096006185,1.25e-05,1.267633952697118
118,1.027702824909146,1.25e-05,1.265682868162791
119,1.0270063967263998,1.25e-05,1.2666087945302327
120,1.0260670831223495,1.25e-05,1.2662740190823873
121,1.0255828384591752,1.25e-05,1.266874259710312
122,1.0250753044080334,1.25e-05,1.2657417913277944
123,1.0248434598706349,1.25e-05,1.2671699543793997
124,1.0246054114413863,1.25e-05,1.2659057656923929
125,1.0240101128065286,1.25e-05,1.2669191658496857
126,1.0234303013617252,1.25e-05,1.266652524471283
127,1.0224655480945812,1.25e-05,1.2671831289927165
128,1.0220868051552974,1.25e-05,1.265624318520228
129,1.0213291975630432,1.25e-05,1.2661854922771454
130,1.0211076666327084,1.25e-05,1.2671045124530793
131,1.0195487632470972,6.25e-06,1.2671151200930277
132,1.0175495022485237,6.25e-06,1.265434169769287
133,1.016798401079258,6.25e-06,1.265302981932958
134,1.0162993955011128,6.25e-06,1.2650650064150493
135,1.0158752538576847,6.25e-06,1.2649800856908162
136,1.0154631117812725,6.25e-06,1.2649497449398042
137,1.0150824279344381,6.25e-06,1.264701642592748
138,1.01475508072797,6.25e-06,1.2647784292697906
139,1.0144414921768574,6.25e-06,1.2645042498906454
140,1.0142289790786614,6.25e-06,1.2647897680600484
141,1.014126705522297,6.25e-06,1.2651552081108093
142,1.0138166672041435,6.25e-06,1.2650166193644206
143,1.0134968542251266,6.25e-06,1.2652743498484293
144,1.0132007829281462,6.25e-06,1.2646433691183725
145,1.013001490540865,6.25e-06,1.2653923054536185
146,1.012756425292552,6.25e-06,1.2647512177626292
147,1.0124432935434229,6.25e-06,1.2661842107772827
148,1.0121007376358289,6.25e-06,1.2642817179361978
149,1.0117408197467066,6.25e-06,1.265619820356369
150,1.0113947411545186,6.25e-06,1.2644728422164917
151,1.011005812833289,6.25e-06,1.2649327019850414
152,1.0107075246442265,6.25e-06,1.2647214909394582
153,1.0105515833662337,6.25e-06,1.2648201783498128
154,1.0102571163858687,6.25e-06,1.264722357193629
155,1.0098383366560735,6.25e-06,1.2648716906706492
156,1.0095601051795382,6.25e-06,1.2651135444641113
157,1.0092510816429843,6.25e-06,1.2646693905194601
158,1.008980619306324,6.25e-06,1.2646959861119589
159,1.0085251221135885,6.25e-06,1.2647801995277406
160,1.0081038915810465,6.25e-06,1.264461745818456
161,1.007976782922985,6.25e-06,1.2648635983467102
162,1.0076038316518319,6.25e-06,1.2644980748494465
163,1.0071474469008566,6.25e-06,1.2648837248484293
164,1.0067173427894336,6.25e-06,1.264169051249822
165,1.0064667042563944,6.25e-06,1.2642119685808817
166,1.0061587971799515,6.25e-06,1.2645249644915262
167,1.0059594532020955,6.25e-06,1.26474818388621
168,1.0055313280650549,6.25e-06,1.2640465060869852
169,1.0053010928530652,6.25e-06,1.2650063395500184
170,1.0048376652372986,6.25e-06,1.2642149726549785
171,1.0046392183343904,6.25e-06,1.2641159772872925
172,1.0043434731098784,6.25e-06,1.2649388750394186
