epoch,loss,lr,val_loss
0,1.579471579118937,1e-05,1.685461579958598
1,1.6374139475221394,1e-05,1.6296503067016601
2,1.6146334760329302,1e-05,1.5994541923205057
3,1.5545379895122111,1e-05,1.6383955526351928
4,1.5695581896966244,1e-05,1.56000288883845
5,1.545190566728095,1e-05,1.617758231163025
6,1.578142672025857,1e-05,1.576972467104594
7,1.5648476316147493,1e-05,1.5858442036310831
8,1.5693281538346235,1e-05,1.6071620297431946
9,1.5410580534894927,1e-05,1.5793248494466146
10,1.5367611706757747,1e-05,1.5902762699127198
11,1.5777525511108528,1e-05,1.5557899196942648
12,1.5270954961536312,1e-05,1.5759518591562907
13,1.5436622385217362,1e-05,1.6140034635861715
14,1.5613847800663538,1e-05,1.5583763488133748
15,1.4961540869304113,1e-05,1.5857424505551656
16,1.5447012266191114,1e-05,1.6033433707555136
17,1.5764791484640426,1e-05,1.620654760201772
18,1.5930084981838195,1e-05,1.594551954269409
19,1.5463738872223542,1e-05,1.5840055950482685
20,1.545829707834901,1e-05,1.616413660844167
21,1.585957199585538,1e-05,1.5721125904719035
22,1.5785213408349943,1e-05,1.5703413931528727
23,1.5143398306950802,1e-05,1.570426747004191
24,1.5274243354797363,1e-05,1.5830419524510702
25,1.5549047003273202,1e-05,1.5872279214859009
26,1.5862429773106295,1e-05,1.5165048448244731
27,1.5129766654567558,1e-05,1.6333328652381898
28,1.5687753963871163,1e-05,1.598197522163391
29,1.5415753637041365,1e-05,1.5967520276705425
30,1.5301837730808419,1e-05,1.6075611559549967
31,1.5600043004300415,1e-05,1.5530410623550415
32,1.5385471101568526,1e-05,1.5423842279116313
33,1.503823101019659,1e-05,1.540961667696635
34,1.5410140722739596,1e-05,1.520658976236979
35,1.537805165563311,1e-05,1.56364297469457
36,1.5475307532719202,1e-05,1.5649922386805217
37,1.557885766029358,1e-05,1.520921938419342
38,1.4846382842344397,1e-05,1.555751132965088
39,1.5420448108881462,1e-05,1.5487343446413675
40,1.5179114582157935,1e-05,1.5840401903788248
41,1.5470432934640836,1e-05,1.5580943044026692
42,1.5606367277498006,1e-05,1.5546776874860129
43,1.5147982234714412,1e-05,1.5454932808876038
44,1.5137057003854704,1e-05,1.5510585769017537
45,1.5232203838204135,1e-05,1.5957772668202719
46,1.5633390140132744,1e-05,1.5323161959648133
47,1.5344558824010257,1e-05,1.5174788292249044
48,1.4928701364693522,1e-05,1.5308268944422403
49,1.537806999783556,1e-05,1.5301161313056946
50,1.5857931475679414,1e-05,1.584677554766337
51,1.5542106177626538,1e-05,1.5490945784250896
52,1.5347082144072075,1e-05,1.5665291166305542
53,1.522149950516324,1e-05,1.5633395687739053
54,1.5243240815250814,1e-05,1.5934706123669942
55,1.5393740619931902,1e-05,1.548451028664907
56,1.5186775572159712,1e-05,1.615702432791392
57,1.5594340713084245,5e-06,1.5374217144648235
58,1.5023882909983146,5e-06,1.5163252504666647
59,1.508110523223877,5e-06,1.5523430426915488
60,1.4844104086651522,5e-06,1.5185406963030497
61,1.493621712973138,5e-06,1.5488519581158955
62,1.553038705296877,5e-06,1.5438797084490459
63,1.5194163873416036,5e-06,1.5332256809870402
64,1.4931824357569718,5e-06,1.5647446624437968
65,1.5584931243367557,5e-06,1.5215779280662536
66,1.5668263164888911,5e-06,1.5338426772753397
67,1.5062725123237162,5e-06,1.5105270989735922
68,1.5307139789356905,5e-06,1.531772502263387
69,1.4883772385220568,5e-06,1.5188695009549458
70,1.49217109820422,5e-06,1.5280493569374085
71,1.5572052663113891,5e-06,1.521165955066681
72,1.4977757279612438,5e-06,1.551444904009501
73,1.5171823581727613,5e-06,1.5335956899325054
74,1.4981344908225436,5e-06,1.5501256688435872
75,1.5400304674100476,5e-06,1.492033188343048
76,1.5040561111033464,5e-06,1.5383465909957885
77,1.5375054874340026,5e-06,1.5203542915980022
78,1.5208859423629375,5e-06,1.559154806137085
79,1.4767462295644425,5e-06,1.5595269076029459
80,1.5208066140904146,5e-06,1.5498120498657226
81,1.5218537234458602,5e-06,1.5433387819925943
82,1.4970765133865742,5e-06,1.5521792658170064
83,1.5024425722971684,5e-06,1.5716244554519654
84,1.512477712470944,5e-06,1.5354832633336386
85,1.5086462818273978,5e-06,1.559944709142049
86,1.5237121451802615,5e-06,1.5398713699976603
87,1.4831597093774491,5e-06,1.5596712271372477
88,1.531986834622231,5e-06,1.5421468901634217
89,1.4901035623390133,5e-06,1.5536996285120646
90,1.5359886053229581,5e-06,1.5475156116485596
91,1.512255330045684,5e-06,1.5576821303367614
92,1.4982708782708944,5e-06,1.5671057573954263
93,1.5158359062771838,5e-06,1.5334710240364076
94,1.5352379334073107,5e-06,1.5569310665130616
95,1.5114371486070777,5e-06,1.574288314183553
96,1.5489951422234542,5e-06,1.532269070148468
97,1.4921652699718957,5e-06,1.5225871102015178
98,1.5419656178530525,5e-06,1.6030590065320334
99,1.5525409844743103,5e-06,1.5409370851516724
100,1.5048491213502002,5e-06,1.5820681087176005
101,1.5420646988043265,5e-06,1.516443600654602
102,1.5144259949692158,5e-06,1.5462600660324097
103,1.5101340037434041,5e-06,1.5236230452855428
104,1.5225391498132914,5e-06,1.546887185573578
105,1.4817680941910303,5e-06,1.5098648484547932
106,1.4736641134534563,2.5e-06,1.5694163846969604
107,1.518436415856626,2.5e-06,1.4863799397150677
108,1.4923852171216692,2.5e-06,1.5294671893119811
109,1.547931842443322,2.5e-06,1.5032185482978822
110,1.5058080178348958,2.5e-06,1.5429062859217326
111,1.5053261067686963,2.5e-06,1.560430204073588
112,1.5094511679240636,2.5e-06,1.5119543981552124
113,1.4877493000831925,2.5e-06,1.5123592114448547
114,1.5042843017257561,2.5e-06,1.491204731464386
115,1.5336843999494023,2.5e-06,1.5732219370206197
116,1.5274611080394072,2.5e-06,1.5184534541765848
117,1.4877120807391255,2.5e-06,1.5399634043375652
118,1.468780900249962,2.5e-06,1.531042841275533
119,1.5017753619105876,2.5e-06,1.5432940967877706
120,1.5769600026747759,2.5e-06,1.5986552762985229
121,1.5151756541067813,2.5e-06,1.523861807982127
122,1.5073128027074478,2.5e-06,1.5870788415273032
123,1.4924036775316512,2.5e-06,1.5335117864608765
124,1.512902313921632,2.5e-06,1.5392613784472147
125,1.4990394806661527,2.5e-06,1.5250910941759745
126,1.5283801184982813,2.5e-06,1.5556501738230388
127,1.5368964511807226,2.5e-06,1.5166203347841898
128,1.5183787516185216,2.5e-06,1.5240111025174459
129,1.4813674918743742,2.5e-06,1.5361229825019835
130,1.5016920816998522,2.5e-06,1.5135732666651407
131,1.4804694542363912,2.5e-06,1.5401428071657817
132,1.5287492705994294,2.5e-06,1.5403523556391399
133,1.5092553381158524,2.5e-06,1.5202439721425374
134,1.4965705931687556,2.5e-06,1.5498567175865174
135,1.5047880801833977,2.5e-06,1.5308812602361044
136,1.5180969709107857,2.5e-06,1.5220852041244506
137,1.502061421129884,2.5e-06,1.5245023377736409
138,1.5029086145032353,1.25e-06,1.517051645119985
139,1.4743715174057905,1.25e-06,1.4991132815678914
140,1.4741616048732726,1.25e-06,1.5521979920069378
141,1.5396977953550195,1.25e-06,1.512026429971059
142,1.5133137232115288,1.25e-06,1.532662229537964
143,1.5020835870454292,1.25e-06,1.5100739467144013
144,1.4719462895593722,1.25e-06,1.516140820980072
145,1.5075427143513656,1.25e-06,1.5254616419474283
146,1.512689516323955,1.25e-06,1.5445470786094666
147,1.5326507812788506,1.25e-06,1.5289761058489482
148,1.5043125753643132,1.25e-06,1.5500604089101155
149,1.5227917262486048,1.25e-06,1.524936900138855
150,1.4806817639775638,1.25e-06,1.5326592874526979
151,1.5127070190525855,1.25e-06,1.5280515058835347
152,1.4685659909448703,1.25e-06,1.5341783054669698
153,1.510385804817456,1.25e-06,1.512336938381195
154,1.5192416625864364,1.25e-06,1.5051550269126892
155,1.4790579110634428,1.25e-06,1.5220928617318472
156,1.512628322889825,1.25e-06,1.5447406156857808
157,1.510812179381106,1.25e-06,1.5656122303009032
158,1.5232502652817415,1.25e-06,1.5342491682370503
159,1.4793344645940958,1.25e-06,1.517885859409968
160,1.5314910562098527,1.25e-06,1.5291745638847352
161,1.533422213642537,1.25e-06,1.5434540327390034
162,1.47690529683057,1.25e-06,1.5322222248713175
163,1.4829777238749657,1.25e-06,1.5331585685412088
164,1.5233329414319592,1.25e-06,1.5404643511772156
165,1.5060644039586812,1.25e-06,1.5570448088645934
166,1.542689633970501,1.25e-06,1.5394520783424377
167,1.5076460107033993,1.25e-06,1.5236167597770691
168,1.5268728071901978,1e-06,1.5960369650522868
169,1.5355812120838326,1e-06,1.5457957673072815
170,1.5085365842370426,1e-06,1.5388851221402486
171,1.5396661217473133,1e-06,1.5180813797314963
172,1.5108630376703598,1e-06,1.4922178546587626
173,1.4577933640039267,1e-06,1.5178016646703085
174,1.5002656453797798,1e-06,1.5005329426129659
175,1.4978223968954647,1e-06,1.5420285558700562
176,1.4900684847551233,1e-06,1.5326153469085693
177,1.5077171465929817,1e-06,1.4978948446114857
178,1.5078406303870577,1e-06,1.5167818840344747
179,1.5417782008147038,1e-06,1.562514975865682
180,1.5234610102757686,1e-06,1.5191791073481242
181,1.4710092734889824,1e-06,1.5029046607017518
182,1.5142968021521048,1e-06,1.525132447083791
183,1.5085480213165283,1e-06,1.5262424445152283
184,1.5312195084676021,1e-06,1.5326041666666668
185,1.4905116117301107,1e-06,1.5110389113426208
186,1.5069017971263212,1e-06,1.5067011674245199
187,1.4904211749549674,1e-06,1.5435764841238657
188,1.5432343212496333,1e-06,1.5194286886850994
189,1.482959160283834,1e-06,1.5258634388446808
190,1.4826407332380278,1e-06,1.513204337755839
191,1.475431772841125,1e-06,1.5541797097524006
192,1.5178018026993054,1e-06,1.513358415365219
193,1.5605164075098117,1e-06,1.527921471595764
194,1.4955856219059278,1e-06,1.5569163393974303
195,1.5305443391078661,1e-06,1.5211024085680644
196,1.5116077130582153,1e-06,1.4954521981875102
197,1.5013847561443554,1e-06,1.518230680624644
198,1.5148262296404158,1e-06,1.5218226607640584
199,1.4904031743522452,1e-06,1.5445587507883707
200,1.4950714181451237,1e-06,1.51643416484197
201,1.4924779819841145,1e-06,1.5560311794281005
202,1.5554660759052308,1e-06,1.5438042378425598
203,1.50788775011271,1e-06,1.5308250991503398
204,1.540558456372814,1e-06,1.5268968852361042
205,1.5097879091230761,1e-06,1.5083879788716634
206,1.4910387471944344,1e-06,1.5425500218073527
207,1.4911399588865393,1e-06,1.5342451588312784
208,1.4911273617704375,1e-06,1.5372468900680543
209,1.5109419882798396,1e-06,1.502940612634023
210,1.5005484338568038,1e-06,1.4967252445220947
211,1.4910654250313253,1e-06,1.531438999970754
212,1.5445331495349146,1e-06,1.5591579286257427
213,1.531512001983258,1e-06,1.5108926105499267
214,1.4560901187047237,1e-06,1.5030443207422892
215,1.4903143023242469,1e-06,1.5211388603846232
216,1.497311920678916,1e-06,1.5265018423398335
217,1.5069755105411304,1e-06,1.4995393673578898
218,1.5114262164139949,1e-06,1.5532085847854615
219,1.4964088592208733,1e-06,1.5106212480862935
220,1.4800744787985538,1e-06,1.5021145963668823
221,1.5039193530042632,1e-06,1.5399151357014973
222,1.4601092488825822,1e-06,1.5165753197669982
223,1.4920251680021526,1e-06,1.53299422899882
224,1.495925299259795,1e-06,1.497002199490865
225,1.482024152739709,1e-06,1.518794411023458
226,1.475946113842876,1e-06,1.5358768963813783
227,1.499467410961119,1e-06,1.5477555799484253
228,1.4981789628998572,1e-06,1.545465742746989
229,1.5026739234683895,1e-06,1.4934802571932475
230,1.4898938010720646,1e-06,1.5656631127993266
231,1.5555119734852254,1e-06,1.5339838767051697
232,1.502605687670347,1e-06,1.5374315977096558
233,1.503367766612718,1e-06,1.5046453619003295
234,1.4733185267248075,1e-06,1.5217238148053487
235,1.5302175093097847,1e-06,1.5681001901626588
236,1.5341816329154647,1e-06,1.4843823210398357
237,1.4921800459132475,1e-06,1.516659481525421
238,1.5260889109443216,1e-06,1.531335587501526
239,1.5076388401143692,1e-06,1.5337932022412617
240,1.509914770847609,1e-06,1.516565635204315
241,1.5160412027054475,1e-06,1.5613749559720358
242,1.4891585642550171,1e-06,1.5276526490847269
243,1.5211054787916296,1e-06,1.4815827091534932
244,1.4686707037837565,1e-06,1.5340439653396607
245,1.4985901277606226,1e-06,1.515758117834727
246,1.4948124014028983,1e-06,1.516570867697398
247,1.4826194268314778,1e-06,1.5127511096000672
248,1.5090568326100582,1e-06,1.4939308778444926
249,1.536573389999005,1e-06,1.5177588931719461
250,1.5085650021288575,1e-06,1.543219956556956
251,1.5094608308888282,1e-06,1.5235537060101827
252,1.5145818395774906,1e-06,1.5332466872533161
253,1.5052499059869462,1e-06,1.5313679321606954
254,1.5128017373445655,1e-06,1.536060761610667
255,1.52325036946465,1e-06,1.535917456150055
256,1.4987663731855505,1e-06,1.5110976560910543
257,1.471130485294246,1e-06,1.5267859101295471
258,1.522509956560215,1e-06,1.5012956293423971
259,1.4799343016969055,1e-06,1.514348704814911
260,1.5168535889697676,1e-06,1.522517131169637
261,1.527011005818343,1e-06,1.5567272599538167
262,1.5444332801995158,1e-06,1.5177031826972962
263,1.5400734568844323,1e-06,1.5300772865613301
264,1.4821705577754174,1e-06,1.5000408172607422
265,1.4682894093649728,1e-06,1.527993704477946
266,1.5271129427837724,1e-06,1.4808995815118153
267,1.4739619723889006,1e-06,1.520748151143392
268,1.5127046518966931,1e-06,1.5085569683710733
269,1.4905337015119922,1e-06,1.5584472680091859
270,1.5274025382114058,1e-06,1.5020074359575908
271,1.4645659743236894,1e-06,1.5404909253120422
272,1.5220244411660844,1e-06,1.5328771233558656
273,1.5039074951861084,1e-06,1.5286648726463319
274,1.530711331287352,1e-06,1.5128452905019125
275,1.4860161472769344,1e-06,1.532783818244934
276,1.5069295087782275,1e-06,1.5030622164408365
277,1.472731245665991,1e-06,1.5028733452161154
278,1.5092716908254544,1e-06,1.4785074234008788
279,1.463355882828977,1e-06,1.5082996972401936
280,1.499210652183084,1e-06,1.504246867497762
281,1.4779600235594421,1e-06,1.535021061897278
282,1.5267470233580644,1e-06,1.5301379974683125
283,1.5273468895118778,1e-06,1.501745236714681
284,1.4795385438854955,1e-06,1.5199323471387227
285,1.4818398772167558,1e-06,1.5097441506385803
286,1.4738948465395374,1e-06,1.5473578476905823
287,1.4914217616329675,1e-06,1.5153524390856425
288,1.5181956912289147,1e-06,1.557888867855072
289,1.5203812192468082,1e-06,1.5016274857521057
290,1.4969856278235172,1e-06,1.5305305846532187
291,1.4996437064739836,1e-06,1.5016662899653117
292,1.451316742336049,1e-06,1.5415142862002056
