epoch,loss,lr,val_loss
0,9.504304380030245,0.001,7.400935662587484
1,5.131984270907737,0.001,3.968837045033773
2,3.1603709845929533,0.001,2.6525278886159263
3,2.3597829929880194,0.001,2.135456252892812
4,2.0385032626422674,0.001,2.00329932530721
5,1.8197476146994411,0.001,3.9574525594711303
6,1.6731179968730823,0.001,1.7430252186457316
7,1.6218634980755884,0.001,1.5740318322181701
8,1.5333787589459806,0.001,3.5865884097417196
9,1.4532705408495825,0.001,1.5773818906148274
10,1.4235651899833937,0.001,1.517512557109197
11,1.5059466317698762,0.001,2.400325620174408
12,1.4830693904612515,0.001,1.4256450724601746
0,1.4908933252901644,0.001,1.621596515973409
1,1.4405586961153392,0.001,1.4144964853922526
2,1.456831540207605,0.001,1.46269491036733
3,1.4343304368289742,0.001,3.1130330395698547
4,1.3874486406912674,0.001,1.4940943384170533
5,1.4419310415113293,0.001,1.4343102145195008
6,1.4157399442550298,0.001,1.4232233647505443
7,1.4104093538748252,0.001,1.42025559703509
8,1.3740312888010129,0.001,1.6132645575205484
9,1.4205981247328423,0.001,1.476159513791402
10,1.4147352479599618,0.001,1.3503952689965566
11,1.3887100328464765,0.001,1.3652382604281108
12,1.384422573286134,0.001,1.583869161605835
13,1.3368537945521843,0.001,1.3761191670099895
14,1.4408465861468702,0.001,1.6577047236760458
15,1.4067323586425267,0.001,1.3514255781968434
16,1.3601407618136019,0.001,1.521686427195867
17,1.3538560053786717,0.001,1.4438088834285736
18,1.3253768912038288,0.001,1.458614359299342
19,1.3441812524924408,0.001,1.380412797530492
20,1.3444554491623029,0.001,1.42766690770785
21,1.3713647239917033,0.001,1.5286513261000316
22,1.3885917264867473,0.001,1.382044616540273
23,1.3463324239930592,0.001,1.4262793751557667
24,1.3683040568957459,0.001,1.4299463005860646
25,1.3510372542046212,0.001,1.3525360143184662
26,1.3999309898228258,0.001,1.4887999204794566
27,1.3932221056641758,0.001,1.415007381439209
28,1.4172505708159626,0.001,1.4182026855150858
29,1.3721576651205887,0.001,1.4029997893174488
30,1.3798658537703592,0.001,1.3269871473312378
31,1.437097826922262,0.001,1.4604525144894918
32,1.3139045661365665,0.001,1.4204854182402293
33,1.3976062999383823,0.001,1.372451585928599
34,1.332831994907276,0.001,1.4195841534932454
35,1.340694295393454,0.001,1.351116517384847
36,1.3601441943162196,0.001,1.3761220331986745
37,1.4143555937586605,0.001,1.464780744711558
38,1.4705909913456119,0.001,1.3902387130260467
39,1.4076557473556415,0.001,1.3840516289075215
40,1.3654304932098131,0.001,1.3657800543308258
41,1.3767584425372046,0.001,1.3419832793871562
42,1.371864299113686,0.001,2.7752809302012125
43,1.3376073378163416,0.001,1.5205549589792888
44,1.3419934418555852,0.001,1.3514325666427611
45,1.3226171937343236,0.001,1.6362582159042358
46,1.395775910970327,0.001,1.4187996292114258
47,1.3134285847882967,0.001,1.4624779550234477
48,1.356475316189431,0.001,1.3754708659648895
49,1.322546041092357,0.001,1.3510964183012644
50,1.4328631907701492,0.001,5.925262184143066
51,1.3307944411361539,0.001,1.4858326522509258
52,1.336469767866908,0.001,1.298803111712138
53,1.392960091700425,0.001,7.792399247487386
54,1.408066539748295,0.001,1.3813158476352692
55,1.3504222458278812,0.001,1.3182669186592102
56,1.317044062791644,0.001,1.3216969307263693
57,1.3974202367905024,0.001,1.3769335504372915
58,1.3595568106786624,0.001,1.3069828780492148
59,1.3578236344698313,0.001,3.8012537066141765
60,1.3288452009091507,0.001,1.9044930005073548
61,1.4397905879729502,0.001,1.7773261491457621
62,1.341626213209049,0.001,1.4392771458625793
63,1.3281453034362278,0.001,1.3793764074643453
64,1.3005351186604113,0.001,1.4393754740556082
65,1.3770347942371626,0.001,1.3799228254954021
66,1.2995875006591953,0.001,1.339995266199112
67,1.4120852858633608,0.001,1.3607769163449606
68,1.3408940370018418,0.001,2.1057188566525777
69,1.3165770986595668,0.001,1.3695803435643514
70,1.43733374573089,0.001,2.293937768936157
71,1.365370190224132,0.001,5.505390669504801
72,1.388367553015013,0.001,1.4593957654635112
73,1.3725517657963004,0.001,1.3946888407071432
